COMMON_NAME,audio,image,link
Chinese egret,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Chinese_Egret_3.jpg?itok=eBTorDuB,https://www.hbw.com/species/chinese-egret-egretta-eulophotes#Taxonomy
Chinese sparrowhawk,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/FSM_3277.jpg?itok=GUrxJCQI,https://www.hbw.com/species/chinese-sparrowhawk-accipiter-soloensis#Taxonomy
Cinnamon hummingbird,no image,no link
Citrine wagtail,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/c17119.jpg?itok=AvJ94-rr,https://www.hbw.com/species/citrine-wagtail-motacilla-citreola#Taxonomy
Clay-colored thrush,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Clay-colored-Thrush-Dusan-Brinkhuizen-IBC.jpg?itok=iYUAz6hA,https://www.hbw.com/species/clay-colored-thrush-turdus-grayi#Taxonomy
Colima warbler,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Colima_Warbler_1_Chisos_Mtn_BB_100425_4738.jpg?itok=ryyGYKkb,https://www.hbw.com/species/colima-warbler-leiothlypis-crissalis#Taxonomy
Collared plover,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/collared-plover8.jpg?itok=IACQQAD_,https://www.hbw.com/species/collared-plover-charadrius-collaris#Taxonomy
Common black hawk,no image,no link
Common chaffinch,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/chaffinch_male_slovakia_april_harvancik_8.jpg?itok=68lnyNSp,https://www.hbw.com/species/common-chaffinch-fringilla-coelebs#Taxonomy
Common chiffchaff,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/7243_gransanage_phylloscopus_collybita_falkenberg_halland_20091230_2_1200.jpg?itok=kaMRUI_6,https://www.hbw.com/species/common-chiffchaff-phylloscopus-collybita#Taxonomy
Common cuckoo,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bf6e2152_eurasian_cuckoo.jpg?itok=jD5X7H9x,https://www.hbw.com/species/common-cuckoo-cuculus-canorus#Taxonomy
Common greenshank,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/common_greenshank_2015-04-10_laverton_creek_mouth.jpg?itok=SIiU8WYH,https://www.hbw.com/species/common-greenshank-tringa-nebularia#Taxonomy
Common redshank,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/c12123.jpg?itok=7gm2T1j_,https://www.hbw.com/species/common-redshank-tringa-totanus#Taxonomy
Common redstart,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/8369_common_redstart_rodstjart_phoenicurus_phoenicurus_risingehamn_oland_20161017_1_1000.jpg?itok=JsBd6F03,https://www.hbw.com/species/common-redstart-phoenicurus-phoenicurus#Taxonomy
Common ringed plover,no image,no link
Common sandpiper,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/lake-chad-buffalo--common-sandpiper-.jpg?itok=nJIbIcax,https://www.hbw.com/species/common-sandpiper-actitis-hypoleucos#Taxonomy
Common snipe,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/common_snipe_osudden_2003-08-31_1280.jpg?itok=pgOpekMu,https://www.hbw.com/species/common-snipe-gallinago-gallinago#Taxonomy
Common swift,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/apus_apus__harvancik_002_d_0.jpg?itok=XtuQKJ0v,https://www.hbw.com/species/common-swift-apus-apus#Taxonomy
Common waxbill,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/9109_20160925_2_1000.jpg?itok=LhkhV8z-,https://www.hbw.com/species/common-waxbill-estrilda-astrild#Taxonomy
Cooks petrel,no image,no link
Corn crake,no image,no link
Corys shearwater,no image,no link
Crane hawk,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/crane-hawk4.jpg?itok=s8QWLbPH,https://www.hbw.com/species/crane-hawk-geranospiza-caerulescens#Taxonomy
Craveris murrelet,no image,no link
Crescent-chested warbler,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/IMG_3687-001.JPG?itok=ojinN7Y7,https://www.hbw.com/species/crescent-chested-warbler-oreothlypis-superciliosa#Taxonomy
Crested auklet,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1657_20160606_3_1000.jpg?itok=SqTHU8do,https://www.hbw.com/species/crested-auklet-aethia-cristatella#Taxonomy
Crimson-collared grosbeak,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/CCGRa.jpg?itok=x3wfBkzI,https://www.hbw.com/species/crimson-collared-grosbeak-caryothraustes-celaeno#Taxonomy
Crowned slaty flycatcher,no image,no link
Cuban martin,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/cuban_martin4.jpg?itok=2B99emgY,https://www.hbw.com/species/cuban-martin-progne-cryptoleuca#Taxonomy
Cuban pewee,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/cuban_pewee_pal_mp_cu.jpg?itok=9fhacS40,https://www.hbw.com/species/cuban-pewee-contopus-caribaeus#Taxonomy
Curlew sandpiper,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/curlew_sandpiper_iran.jpg?itok=j-qd1ZHg,https://www.hbw.com/species/curlew-sandpiper-calidris-ferruginea#Taxonomy
Dark-sided flycatcher,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/BF6E0832_Dark-sided_Flycatcher.jpg?itok=G3j3kQXH,https://www.hbw.com/species/dark-sided-flycatcher-muscicapa-sibirica#Taxonomy
