SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Muscicapa muttui,Brown-breasted Flycatcher,brbfly2,species,23403.0022,BBFL,MUMU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa sodhii,Sulawesi Brown Flycatcher,subfly3,species,23403.0026,SSFL SBFL,MUSO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa williamsoni,Brown-streaked Flycatcher,bnsfly1,species,23403.0027,BSFL,MUWI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa williamsoni williamsoni,Brown-streaked Flycatcher (Brown-streaked),bnsfly2,issf,23403.00273,BSFL,MUWI,,Passeriformes,Old World Flycatchers,Muscicapidae,bnsfly1,,
Muscicapa williamsoni umbrosa,Brown-streaked Flycatcher (Umber),bnsfly3,issf,23403.00276,BSFL,MUWI,,Passeriformes,Old World Flycatchers,Muscicapidae,bnsfly1,,
Muscicapa dauurica/williamsoni,Asian Brown/Brown-streaked Flycatcher,y00754,slash,23403.0028,BSFL ABFL,MUDA MUWI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa adusta,Dusky-brown Flycatcher,afdfly1,species,23403.003,ADFL DBFL,MUAD,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa epulata,Little Flycatcher,ligfly2,species,23403.0033,LIFL LGFL,MUEP,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa sethsmithi,Yellow-footed Flycatcher,yeffly1,species,23403.0035,YFFL,MUSE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa striata,Spotted Flycatcher,spofly1,species,23403.0036,,MUST,SPFL,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa striata [striata Group],Spotted Flycatcher (Spotted),spofly2,issf,23403.0039,SPFL,MUST,,Passeriformes,Old World Flycatchers,Muscicapidae,spofly1,,
Muscicapa striata tyrrhenica/balearica,Spotted Flycatcher (Mediterranean),spofly3,issf,23403.0041,SPFL,MUST,,Passeriformes,Old World Flycatchers,Muscicapidae,spofly1,,
Muscicapa gambagae,Gambaga Flycatcher,gamfly1,species,23403.0044,GAFL,MUGA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa aquatica,Swamp Flycatcher,swafly3,species,23403.0048,SWFL,MUAQ,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Muscicapa cassini,Cassin's Flycatcher,casfly1,species,23403.0054,CAFL,MUCA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
