Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Img_URL,Info_URL
Dendragapus fuliginosus,Sooty grouse,Sooty grouse,soogro1,Galliformes,https://s3.amazonaws.com/com-aab-media/sound/521937.mp3,https://s3.amazonaws.com/com-aab-media/photo/75363761-1280px.jpg,https://www.allaboutbirds.org/guide/Sooty_grouse
Melospiza melodia,Song sparrow,Song sparrow,sonspa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523064.mp3,https://s3.amazonaws.com/com-aab-media/photo/75363881-1280px.jpg,https://www.allaboutbirds.org/guide/Song_sparrow
Tringa solitaria,Solitary sandpiper,Solitary sandpiper,solsan,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522145.mp3,https://s3.amazonaws.com/com-aab-media/photo/75363951-1280px.jpg,https://www.allaboutbirds.org/guide/Solitary_sandpiper
Bubo scandiacus,Snowy owl,Snowy owl,snoowl1,Strigiformes,https://s3.amazonaws.com/com-aab-media/sound/522356.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364021-1280px.jpg,https://www.allaboutbirds.org/guide/Snowy_owl
Charadrius nivosus,Snowy plover,Snowy plover,snoplo5,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522132.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364111-1280px.jpg,https://www.allaboutbirds.org/guide/Snowy_plover
Egretta thula,Snowy egret,Snowy egret,snoegr,Pelecaniformes,https://s3.amazonaws.com/com-aab-media/sound/522030.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364241-1280px.jpg,https://www.allaboutbirds.org/guide/Snowy_egret
Plectrophenax nivalis,Snow bunting,Snow bunting,snobun,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522858.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364361-1280px.jpg,https://www.allaboutbirds.org/guide/Snow_bunting
Rostrhamus sociabilis,Snail kite,Snail kite,snakit,Accipitriformes,https://s3.amazonaws.com/com-aab-media/sound/522061.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364431-1280px.jpg,https://www.allaboutbirds.org/guide/Snail_kite
Crotophaga ani,Smooth-billed ani,Smooth-billed ani,smbani,Cuculiformes,https://s3.amazonaws.com/com-aab-media/sound/522339.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364531-1280px.jpg,https://www.allaboutbirds.org/guide/Smooth-billed_ani
Accipiter striatus,Sharp-shinned hawk,Sharp-shinned hawk,shshaw,Accipitriformes,https://s3.amazonaws.com/com-aab-media/sound/522064.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364641-1280px.jpg,https://www.allaboutbirds.org/guide/Sharp-shinned_hawk
Molothrus bonariensis,Shiny cowbird,Shiny cowbird,shicow,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/534086.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364771-1280px.jpg,https://www.allaboutbirds.org/guide/Shiny_cowbird
Asio flammeus,Short-eared owl,Short-eared owl,sheowl,Strigiformes,https://s3.amazonaws.com/com-aab-media/sound/522380.mp3,https://s3.amazonaws.com/com-aab-media/photo/75364941-1280px.jpg,https://www.allaboutbirds.org/guide/Short-eared_owl
Limnodromus griseus,Short-billed dowitcher,Short-billed dowitcher,shbdow,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522205.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365051-1280px.jpg,https://www.allaboutbirds.org/guide/Short-billed_dowitcher
Cistothorus platensis,Sedge wren,Sedge wren,sedwre,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522743.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365221-1280px.jpg,https://www.allaboutbirds.org/guide/Sedge_wren
Tyrannus forficatus,Scissor-tailed flycatcher,Scissor-tailed flycatcher,sctfly,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522600.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365381-1280px.jpg,https://www.allaboutbirds.org/guide/Scissor-tailed_flycatcher
Icterus parisorum,Scotts oriole,Scott's oriole,scoori,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523165.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365511-1280px.jpg,https://www.allaboutbirds.org/guide/Scotts_oriole
Piranga olivacea,Scarlet tanager,Scarlet tanager,scatan,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523093.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365641-1280px.jpg,https://www.allaboutbirds.org/guide/Scarlet_tanager
Callipepla squamata,Scaled Quail,Scaled quail,scaqua,Galliformes,https://s3.amazonaws.com/com-aab-media/sound/521909.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365751-1280px.jpg,https://www.allaboutbirds.org/guide/Scaled_Quail
Sayornis saya,Says phoebe,Say's phoebe,saypho,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522569.mp3,https://s3.amazonaws.com/com-aab-media/photo/75365921-1280px.jpg,https://www.allaboutbirds.org/guide/Says_phoebe
Passerculus sandwichensis,Savannah sparrow,Savannah sparrow,savspa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523039.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366071-1280px.jpg,https://www.allaboutbirds.org/guide/Savannah_sparrow
Thalasseus sandvicensis,Sandwich tern,Sandwich tern,santer1,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522304.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366181-1280px.jpg,https://www.allaboutbirds.org/guide/Sandwich_tern
Antigone canadensis,Sandhill crane,Sandhill crane,sancra,Gruiformes,https://s3.amazonaws.com/com-aab-media/sound/522114.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366251-1280px.jpg,https://www.allaboutbirds.org/guide/Sandhill_crane
Oreoscoptes montanus,Sage thrasher,Sage thrasher,sagthr,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522824.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366321-1280px.jpg,https://www.allaboutbirds.org/guide/Sage_thrasher
Centrocercus urophasianus,Greater sage-grouse,Greater sage-grouse,saggro,Galliformes,https://s3.amazonaws.com/com-aab-media/sound/521925.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366521-1280px.jpg,https://www.allaboutbirds.org/guide/Greater_sage-grouse
Xema sabini,Sabines gull,Sabine's gull,sabgul,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522255.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366601-1280px.jpg,https://www.allaboutbirds.org/guide/Sabines_gull
Calidris alba,Sanderling,Sanderling,sander,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522181.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366681-1280px.jpg,https://www.allaboutbirds.org/guide/Sanderling
Euphagus carolinus,Rusty blackbird,Rusty blackbird,rusbla,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523132.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366731-1280px.jpg,https://www.allaboutbirds.org/guide/Rusty_blackbird
Selasphorus rufus,Rufous hummingbird,Rufous hummingbird,rufhum,Caprimulgiformes,https://s3.amazonaws.com/com-aab-media/sound/522415.mp3,https://s3.amazonaws.com/com-aab-media/photo/75366821-1280px.jpg,https://www.allaboutbirds.org/guide/Rufous_hummingbird
