SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Zimmerius albigularis,Choco Tyrannulet,chotyr1,Passeriformes
Zimmerius bolivianus,Bolivian Tyrannulet,boltyr1,Passeriformes
Zimmerius cinereicapilla,Red-billed Tyrannulet,rebtyr2,Passeriformes
Zimmerius villarejoi,Mishana Tyrannulet,mistyr1,Passeriformes
Zimmerius chicomendesi,Chico's Tyrannulet,chityr1,Passeriformes
Zimmerius gracilipes,Slender-footed Tyrannulet,slftyr1,Passeriformes
Zimmerius acer,Guianan Tyrannulet,guityr1,Passeriformes
Zimmerius chrysops,Golden-faced Tyrannulet,goftyr1,Passeriformes
Zimmerius chrysops minimus/cumanensis,Golden-faced Tyrannulet (Coopmans's),goftyr5,Passeriformes
Zimmerius chrysops chrysops,Golden-faced Tyrannulet (Golden-faced),goftyr3,Passeriformes
Zimmerius chrysops flavidifrons,Golden-faced Tyrannulet (Loja),goftyr4,Passeriformes
Zimmerius viridiflavus,Peruvian Tyrannulet,pertyr1,Passeriformes
Zimmerius viridiflavus [undescribed form],Peruvian Tyrannulet (Amazonas) (undescribed form),goftyr2,Passeriformes
Zimmerius sp.,Zimmerius sp.,zimmer1,Passeriformes
Sublegatus arenarum,Northern Scrub-Flycatcher,nosfly1,Passeriformes
Sublegatus obscurior,Amazonian Scrub-Flycatcher,amsfly1,Passeriformes
Sublegatus modestus,Southern Scrub-Flycatcher,sosfly1,Passeriformes
Sublegatus sp.,scrub-flycatcher sp.,scrub-2,Passeriformes
Inezia tenuirostris,Slender-billed Tyrannulet,slbtyr1,Passeriformes
Inezia inornata,Plain Tyrannulet,platyr1,Passeriformes
Inezia subflava,Amazonian Tyrannulet,amatyr1,Passeriformes
Inezia caudata,Pale-tipped Tyrannulet,pattyr3,Passeriformes
Myiotriccus ornatus,Ornate Flycatcher,ornfly1,Passeriformes
Myiotriccus ornatus ornatus/stellatus,Ornate Flycatcher (Western),ornfly2,Passeriformes
Myiotriccus ornatus phoenicurus/aureiventris,Ornate Flycatcher (Eastern),ornfly3,Passeriformes
Tachuris rubrigastra,Many-colored Rush Tyrant,mcrtyr1,Passeriformes
Culicivora caudacuta,Sharp-tailed Tyrant,shttyr1,Passeriformes
Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,boptyr1,Passeriformes
Pseudotriccus pelzelni annectens/berlepschi,Bronze-olive Pygmy-Tyrant (annectens/berlepschi),bropyt1,Passeriformes
Pseudotriccus pelzelni pelzelni/peruvianus,Bronze-olive Pygmy-Tyrant (pelzelni/peruvianus),bropyt2,Passeriformes
Pseudotriccus simplex,Hazel-fronted Pygmy-Tyrant,hfptyr1,Passeriformes
