COMMON_NAME,dl,COMMON_NAME_Original
Long-tailed jaeger,1,Long-tailed jaeger
Long-toed stint,1,Long-toed stint
Magnificent frigatebird,1,Magnificent frigatebird
Magnolia warbler,1,Magnolia warbler
Mangrove cuckoo,1,Mangrove cuckoo
Mangrove swallow,1,Mangrove swallow
Manx shearwater,1,Manx shearwater
Marbled godwit,1,Marbled godwit
Marbled murrelet,1,Marbled murrelet
Mariana swiftlet,1,Mariana swiftlet
Marsh wren,1,Marsh wren
Masked booby,1,Masked booby
Masked tityra,1,Masked tityra
Maui akepa,1,Maui akepa
Maui nukupuu,1,Maui nukupuu
Maui parrotbill,1,Maui parrotbill
Mexican chickadee,1,Mexican chickadee
Mexican jay,1,Mexican jay
Mexican violetear,1,Mexican violetear
Mexican whip-poor-will,1,Mexican whip-poor-will
Millerbird,1,Millerbird
Monk parakeet,1,Monk parakeet
Mottled owl,1,Mottled owl
Mottled petrel,1,Mottled petrel
Mountain chickadee,1,Mountain chickadee
Mountain plover,1,Mountain plover
Mugimaki flycatcher,1,Mugimaki flycatcher
Mute swan,1,Mute swan
Nanday parakeet,1,Nanday parakeet
Nashville warbler,1,Nashville warbler
Neotropic cormorant,1,Neotropic cormorant
Nihoa finch,1,Nihoa finch
Northern cardinal,1,Northern cardinal
Northern flicker,1,Northern flicker
Northern gannet,1,Northern gannet
Northern goshawk,1,Northern goshawk
Northern harrier,1,Northern harrier
Northern lapwing,1,Northern lapwing
Northern mockingbird,1,Northern mockingbird
Northern rough-winged swallow,1,Northern rough-winged swallow
Northern saw-whet owl,1,Northern saw-whet owl
Northern shrike,1,Northern shrike
Northern waterthrush,1,Northern waterthrush
Northern wheatear,1,Northern wheatear
Northwestern crow,1,Northwestern crow
Oahu akepa,1,Oahu akepa
Oahu alauahio,1,Oahu alauahio
Oahu amakihi,1,Oahu amakihi
Oahu nukupuu,1,Oahu nukupuu
Oak titmouse,1,Oak titmouse
Olive sparrow,1,Olive sparrow
Olive warbler,1,Olive warbler
Olive-backed pipit,1,Olive-backed pipit
Olive-sided flycatcher,1,Olive-sided flycatcher
Orange-billed nightingale-thrush,1,Orange-billed nightingale-thrush
Orange-cheeked waxbill,1,Orange-cheeked waxbill
Orange-crowned warbler,1,Orange-crowned warbler
Orchard oriole,1,Orchard oriole
Oriental cuckoo,1,Oriental cuckoo
Oriental pratincole,1,Oriental pratincole
Osprey,1,Osprey
Ovenbird,1,Ovenbird
Pacific loon,1,Pacific loon
Pacific swift,1,Pacific swift
Pacific wren,1,Pacific wren
Pacific-slope flycatcher,1,Pacific-slope flycatcher
Paint-billed crake,1,Paint-billed crake
Painted bunting,1,Painted bunting
Palila,1,Palila
Palm warbler,1,Palm warbler
Parakeet auklet,1,Parakeet auklet
Parasitic jaeger,1,Parasitic jaeger
Passenger pigeon,1,Passenger pigeon
Pechora pipit,1,Pechora pipit
Pectoral sandpiper,1,Pectoral sandpiper
Pelagic cormorant,1,Pelagic cormorant
Peregrine falcon,1,Peregrine falcon
Phainopepla,1,Phainopepla
Philadelphia vireo,1,Philadelphia vireo
Pied-billed grebe,1,Pied-billed grebe
Pigeon guillemot,1,Pigeon guillemot
Pileated woodpecker,1,Pileated woodpecker
Pine grosbeak,1,Pine grosbeak
Pine siskin,1,Pine siskin
Pine warbler,1,Pine warbler
Pink-footed shearwater,1,Pink-footed shearwater
Pinyon jay,1,Pinyon jay
Piping plover,1,Piping plover
Piratic flycatcher,1,Piratic flycatcher
Plain-capped starthroat,1,Plain-capped starthroat
Plumbeous vireo,1,Plumbeous vireo
Pomarine jaeger,1,Pomarine jaeger
Prairie falcon,1,Prairie falcon
Prairie warbler,1,Prairie warbler
Prothonotary warbler,1,Prothonotary warbler
Providence petrel,1,Providence petrel
Puaiohi,1,Puaiohi
Purple finch,1,Purple finch
Purple martin,1,Purple martin
Purple sandpiper,1,Purple sandpiper
Pygmy nuthatch,1,Pygmy nuthatch
Pyrrhuloxia,1,Pyrrhuloxia
Razorbill,1,Razorbill
Red avadavat,1,Red avadavat
Red crossbill,1,Red crossbill
Red knot,1,Red knot
