Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Calliphlox evelynae,Bahama woodstar,Bahama woodstar,bahwoo,Caprimulgiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bahama_woodstar_2.jpg?itok=DpevEbqm,https://www.hbw.com/species/bahama-woodstar-calliphlox-evelynae#Taxonomy,1
Sibirionetta formosa,Baikal Teal,Baikal teal,baitea,Anseriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/IMG_1244.jpg?itok=6fS9MQUR,https://www.hbw.com/species/baikal-teal-sibirionetta-formosa#Taxonomy,1
Calidris bairdii,Bairds sandpiper,Baird's sandpiper,baisan,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522194.mp3,s3.amazonaws.com/com-aab-media/photo/75228641-1280px.jpg,https://www.allaboutbirds.org/guide/Bairds_sandpiper,1
Ammodramus bairdii,Bairds sparrow,Baird's sparrow,baispa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523043.mp3,s3.amazonaws.com/com-aab-media/photo/75237651-1280px.jpg,https://www.allaboutbirds.org/guide/Bairds_sparrow,1
Haliaeetus leucocephalus,Bald eagle,Bald eagle,baleag,Accipitriformes,https://s3.amazonaws.com/com-aab-media/sound/522070.mp3,s3.amazonaws.com/com-aab-media/photo/75258921-1280px.jpg,https://www.allaboutbirds.org/guide/Bald_eagle,1
Icterus galbula,Baltimore oriole,Baltimore oriole,balori,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523164.mp3,s3.amazonaws.com/com-aab-media/photo/75258971-1280px.jpg,https://www.allaboutbirds.org/guide/Baltimore_oriole,1
Coereba flaveola,Bananaquit,Bananaquit,banana,Passeriformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Bananaquits.jpg/220px-Bananaquits.jpg,https://en.wikipedia.org/wiki/Bananaquit,1
Patagioenas fasciata,Band-tailed pigeon,Band-tailed pigeon,batpig1,Columbiformes,https://s3.amazonaws.com/com-aab-media/sound/522314.mp3,s3.amazonaws.com/com-aab-media/photo/75259441-1280px.jpg,https://www.allaboutbirds.org/guide/Band-tailed_pigeon,1
Tyto alba,Barn owl,Barn owl,brnowl,Strigiformes,https://s3.amazonaws.com/com-aab-media/sound/522341.mp3,s3.amazonaws.com/com-aab-media/photo/75267271-1280px.jpg,https://www.allaboutbirds.org/guide/Barn_owl,1
Hirundo rustica,Barn swallow,Barn swallow,barswa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522686.mp3,s3.amazonaws.com/com-aab-media/photo/75259341-1280px.jpg,https://www.allaboutbirds.org/guide/Barn_swallow,1
Branta leucopsis,Barnacle Goose,Barnacle goose,bargoo,Anseriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/93_barnacle_goose_vitkindad_gas_branta_leucopsis_ottenby_oland_20121001_1_1600.jpg?itok=LFHzP3Ch,https://www.hbw.com/species/barnacle-goose-branta-leucopsis#Taxonomy,1
Puffinus baroli,Barolo shearwater,Barolo shearwater,litshe1,Procellariiformes,no audio,no image,https://en.wikipedia.org/wiki/Barolo_shearwater,1
Strix varia,Barred owl,Barred owl,brdowl,Strigiformes,https://s3.amazonaws.com/com-aab-media/sound/522372.mp3,s3.amazonaws.com/com-aab-media/photo/75266781-1280px.jpg,https://www.allaboutbirds.org/guide/Barred_owl,1
Bucephala islandica,Barrows goldeneye,Barrow's goldeneye,bargol,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521893.mp3,s3.amazonaws.com/com-aab-media/photo/75259221-1280px.jpg,https://www.allaboutbirds.org/guide/Barrows_goldeneye,1
Limosa lapponica,Bar-tailed godwit,Bar-tailed godwit,batgod,Charadriiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/img_4541b.jpg?itok=X_0vs-8Z,https://www.hbw.com/species/bar-tailed-godwit-limosa-lapponica#Taxonomy,1
Setophaga castanea,Bay-breasted warbler,Bay-breasted warbler,babwar,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522925.mp3,s3.amazonaws.com/com-aab-media/photo/75238661-1280px.jpg,https://www.allaboutbirds.org/guide/Bay-breasted_warbler,1
