,Scientific_Name,Common_Name,Species_Code,Order
8463,Sericulus chrysocephalus,Regent Bowerbird,regbow1,Passeriformes
8464,Ptilonorhynchus violaceus,Satin Bowerbird,satbow1,Passeriformes
8465,Chlamydera guttata,Western Bowerbird,wesbow1,Passeriformes
8466,Chlamydera maculata,Spotted Bowerbird,spobow1,Passeriformes
8467,Chlamydera nuchalis,Great Bowerbird,grebow1,Passeriformes
8468,Chlamydera lauterbachi,Yellow-breasted Bowerbird,yebbow1,Passeriformes
8469,Chlamydera cerviniventris,Fawn-breasted Bowerbird,fabbow1,Passeriformes
8470,Cormobates placens,Papuan Treecreeper,paptre1,Passeriformes
8471,Cormobates leucophaea,White-throated Treecreeper,whttre3,Passeriformes
8472,Cormobates leucophaea minor,White-throated Treecreeper (Little),whttre1,Passeriformes
8473,Cormobates leucophaea [leucophaea Group],White-throated Treecreeper (White-throated),whttre4,Passeriformes
8474,Climacteris affinis,White-browed Treecreeper,whbtre2,Passeriformes
8475,Climacteris erythrops,Red-browed Treecreeper,rebtre1,Passeriformes
8476,Climacteris picumnus,Brown Treecreeper,brotre2,Passeriformes
8477,Climacteris melanurus,Black-tailed Treecreeper,bkttre1,Passeriformes
8478,Climacteris rufus,Rufous Treecreeper,ruftre3,Passeriformes
8479,Amytornis barbatus,Gray Grasswren,grygra1,Passeriformes
8480,Amytornis whitei,Pilbara Grasswren,strgra4,Passeriformes
8481,Amytornis oweni,Sandhill Grasswren,sangra1,Passeriformes
8482,Amytornis rowleyi,Rusty Grasswren,rusgra1,Passeriformes
8483,Amytornis striatus,Striated Grasswren,strgra2,Passeriformes
8484,Amytornis woodwardi,White-throated Grasswren,whtgra1,Passeriformes
8485,Amytornis dorotheae,Carpentarian Grasswren,cargra2,Passeriformes
8486,Amytornis merrotsyi,Short-tailed Grasswren,shtgra1,Passeriformes
8487,Amytornis textilis,Western Grasswren,thbgra1,Passeriformes
8488,Amytornis textilis textilis,Western Grasswren (Western),thbgra2,Passeriformes
8489,Amytornis textilis myall,Western Grasswren (Gawler Range),thbgra3,Passeriformes
8490,Amytornis modestus,Thick-billed Grasswren,thbgra4,Passeriformes
8491,Amytornis housei,Black Grasswren,blagra1,Passeriformes
8492,Amytornis goyderi,Eyrean Grasswren,eyrgra1,Passeriformes
8493,Amytornis purnelli,Dusky Grasswren,dusgra1,Passeriformes
8494,Amytornis ballarae,Kalkadoon Grasswren,kalgra1,Passeriformes
8495,Stipiturus malachurus,Southern Emuwren,souemu1,Passeriformes
8496,Stipiturus ruficeps,Rufous-crowned Emuwren,rucemu1,Passeriformes
8497,Stipiturus mallee,Mallee Emuwren,malemu1,Passeriformes
8498,Sipodotus wallacii,Wallace's Fairywren,walfai1,Passeriformes
8499,Clytomyias insignis,Orange-crowned Fairywren,orcfai1,Passeriformes
8500,Chenorhamphus grayi,Broad-billed Fairywren,brbfai1,Passeriformes
8501,Chenorhamphus campbelli,Campbell's Fairywren,brbfai2,Passeriformes
8502,Malurus cyanocephalus,Emperor Fairywren,empfai1,Passeriformes
8503,Malurus coronatus,Purple-crowned Fairywren,pucfai2,Passeriformes
8504,Malurus elegans,Red-winged Fairywren,rewfai1,Passeriformes
8505,Malurus pulcherrimus,Blue-breasted Fairywren,blbfai1,Passeriformes
8506,Malurus lamberti,Variegated Fairywren,varfai1,Passeriformes
8507,Malurus lamberti dulcis/rogersi,Variegated Fairywren (Lavender-flanked),varfai2,Passeriformes
8508,Malurus lamberti assimilis,Variegated Fairywren (Purple-backed),varfai3,Passeriformes
8509,Malurus lamberti lamberti/bernieri,Variegated Fairywren (Variegated),varfai4,Passeriformes
8510,Malurus amabilis,Lovely Fairywren,lovfai1,Passeriformes
8511,Malurus splendens,Splendid Fairywren,splfai1,Passeriformes
8512,Malurus cyaneus,Superb Fairywren,supfai1,Passeriformes
8513,Malurus leucopterus,White-winged Fairywren,whwfai1,Passeriformes
8514,Malurus leucopterus leuconotus,White-winged Fairywren (Blue-and-white),whwfai2,Passeriformes
8515,Malurus leucopterus leucopterus/edouardi,White-winged Fairywren (Black-and-white),whwfai3,Passeriformes
8516,Malurus melanocephalus,Red-backed Fairywren,rebfai1,Passeriformes
8517,Malurus alboscapulatus,White-shouldered Fairywren,whsfai1,Passeriformes
8518,Malurus sp.,fairywren sp.,fairyw1,Passeriformes
8519,Myza celebensis,Dark-eared Myza,daehon1,Passeriformes
8520,Myza sarasinorum,White-eared Myza,grshon1,Passeriformes
8521,Myza celebensis/sarasinorum,Dark-eared/White-eared Myza,y00887,Passeriformes
8522,Acanthorhynchus tenuirostris,Eastern Spinebill,easspi1,Passeriformes
8523,Acanthorhynchus superciliosus,Western Spinebill,wesspi1,Passeriformes
8524,Certhionyx variegatus,Pied Honeyeater,piehon1,Passeriformes
8525,Pycnopygius ixoides,Plain Honeyeater,plahon1,Passeriformes
8526,Pycnopygius cinereus,Marbled Honeyeater,marhon1,Passeriformes
8527,Pycnopygius stictocephalus,Streak-headed Honeyeater,sthhon1,Passeriformes
8528,Prosthemadera novaeseelandiae,Tui,tui1,Passeriformes
8529,Anthornis melanura,New Zealand Bellbird,nezbel1,Passeriformes
8530,Anthornis melanocephala,Chatham Island Bellbird,chibel1,Passeriformes
8531,Oreornis chrysogenys,Orange-cheeked Honeyeater,orchon1,Passeriformes
8532,Meliphaga aruensis,Puff-backed Honeyeater,pubhon1,Passeriformes
8533,Meliphaga notata,Yellow-spotted Honeyeater,yeshon1,Passeriformes
8534,Meliphaga lewinii,Lewin's Honeyeater,lewhon1,Passeriformes
8535,Meliphaga albonotata,Scrub Honeyeater,scrhon1,Passeriformes
8536,Meliphaga orientalis,Mountain Meliphaga,moumel1,Passeriformes
8537,Meliphaga analoga,Mimic Honeyeater,mimhon1,Passeriformes
8538,Meliphaga montana,Forest Honeyeater,forhon1,Passeriformes
8539,Meliphaga mimikae,Spot-breasted Meliphaga,spbmel1,Passeriformes
8540,Meliphaga flavirictus,Yellow-gaped Honeyeater,yeghon1,Passeriformes
8541,Meliphaga albilineata,White-lined Honeyeater,whlhon1,Passeriformes
8542,Meliphaga fordiana,Kimberley Honeyeater,kimhon1,Passeriformes
8543,Meliphaga reticulata,Streak-breasted Honeyeater,stbhon3,Passeriformes
8544,Meliphaga vicina,Tagula Honeyeater,taghon1,Passeriformes
8545,Meliphaga gracilis,Graceful Honeyeater,grahon2,Passeriformes
8546,Meliphaga cinereifrons,Elegant Honeyeater,grahon3,Passeriformes
8547,Meliphaga gracilis/cinereifrons,Graceful/Elegant Honeyeater,grahon1,Passeriformes
8548,Meliphaga sp.,Meliphaga sp.,meliph1,Passeriformes
